
State Machine - |Structural|MSS:Controller|y
Name y.s16 y.s15 y.s14 y.s13 y.s12 y.s11 y.s10 y.s9 y.s8 y.s7 y.s6 y.s5 y.s4 y.s3 y.s2 y.s0 y.s1 
y.s1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
y.s0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 
y.s2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 
y.s3 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 
y.s4 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 
y.s5 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 
y.s6 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 
y.s7 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 
y.s8 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 
y.s9 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 
y.s10 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 
y.s11 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 
y.s12 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 
y.s13 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 
y.s14 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 
y.s15 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 
y.s16 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 
